Player,Team,SO/BB,WHIP,IP,W,L,ERA
Jorge López,CHC,3.88,1.088,26.2,1.0,1.0,2.03
Gregory Soto*,PHI,2.2,1.585,35.1,2.0,4.0,4.08
Gregory Soto*,BAL,3.0,1.528,17.2,1.0,1.0,5.09
Seth Martinez,HOU,2.0,1.272,52.2,3.0,2.0,3.59
Craig Kimbrel,BAL,2.35,1.357,52.1,7.0,5.0,5.33
Randy Rodríguez,SFG,2.94,1.242,52.1,3.0,2.0,4.3
José Suarez*,LAA,2.07,1.605,52.1,1.0,2.0,6.02
John Schreiber,KCR,2.3,1.316,51.2,4.0,3.0,3.66
Huascar Brazobán,MIA,3.09,1.011,30.2,1.0,2.0,2.93
Huascar Brazobán,NYM,1.21,1.524,21.0,0.0,1.0,5.14
Tyler Ferguson,OAK,2.58,1.091,51.1,4.0,2.0,3.68
Colin Holderman,PIT,2.24,1.305,51.1,3.0,6.0,3.16
Elvis Peguero,MIL,1.74,1.539,51.1,7.0,4.0,2.98
Brennan Bernardino*,BOS,2.55,1.412,51.0,4.0,3.0,4.06
Michael Grove,LAD,3.38,1.216,51.0,4.0,4.0,5.12
Tanner Rainey,WSN,1.52,1.49,51.0,0.0,0.0,4.76
José Ruiz,PHI,3.06,1.333,51.0,5.0,1.0,3.71
Carmen Mlodzinski,PIT,2.42,1.184,50.2,5.0,5.0,3.38
Hunter Harvey,WSN,4.17,1.222,45.0,2.0,4.0,4.2
Landen Roupp,SFG,1.81,1.371,50.1,1.0,2.0,3.58
Davis Martin,CHW,2.04,1.46,50.0,0.0,5.0,4.32
Eduardo Rodríguez*,ARI,2.47,1.5,50.0,3.0,4.0,5.04
Anthony Banda*,LAD,2.78,1.248,49.2,3.0,2.0,3.08
Bryce Elder,ATL,2.71,1.631,49.2,2.0,5.0,6.52
Andrew Nardi*,MIA,3.89,1.248,49.2,3.0,2.0,5.07
Louie Varland,MIN,3.06,1.691,49.2,0.0,6.0,7.61
Quinn Priester,PIT,2.38,1.455,44.2,2.0,6.0,5.04
Kyle Muller*,OAK,3.6,1.176,49.1,0.0,1.0,4.01
Lucas Sims,CIN,2.0,1.415,35.1,1.0,4.0,3.57
Lucas Sims,BOS,0.9,1.5,14.0,0.0,2.0,6.43
Spencer Bivens,SFG,3.36,1.192,48.2,3.0,1.0,3.14
Kyle Leahy,STL,3.3,1.027,48.2,1.0,1.0,4.07
Matt Moore*,LAA,1.58,1.345,48.1,5.0,3.0,5.03
Zach Pop,TOR,1.74,1.324,48.1,2.0,4.0,5.59
Joe Boyle,OAK,1.4,1.72,47.2,3.0,6.0,6.42
Christian Scott,NYM,3.25,1.204,47.1,0.0,3.0,4.56
Caleb Thielbar*,MIN,2.21,1.563,47.1,2.0,4.0,5.32
Stephen Kolek,SDP,3.25,1.521,46.2,3.0,0.0,5.21
Blake Treinen,LAD,5.09,0.943,46.2,7.0,3.0,1.93
Justin Wilson*,CIN,3.92,1.457,46.2,1.0,5.0,5.59
Trevor Megill,MIL,3.57,1.014,46.1,1.0,3.0,2.72
Jordan Wicks*,CHC,2.1,1.63,46.0,2.0,4.0,5.48
Brendon Little*,TOR,1.89,1.314,45.2,1.0,2.0,3.74
Shawn Dubin,HOU,1.88,1.566,45.1,1.0,1.0,4.17
Pete Fairbanks,TBR,2.59,1.169,45.1,3.0,3.0,3.57
Brant Hurter*,DET,6.33,0.882,45.1,6.0,1.0,2.58
Yohan Ramírez,LAD,2.45,1.466,29.1,0.0,4.0,5.52
Chris Martin,BOS,16.67,1.128,44.1,3.0,1.0,3.45
Steven Matz*,STL,2.2,1.444,44.1,1.0,2.0,5.08
Drew Thorpe,CHW,1.19,1.263,44.1,3.0,3.0,5.48
Jhony Brito,SDP,2.9,1.351,43.2,1.0,2.0,4.12
Jacob Latz*,TEX,1.48,1.511,43.2,2.0,3.0,3.71
Daniel Lynch IV*,KCR,2.79,0.992,43.1,2.0,0.0,3.32
Max Scherzer,TEX,4.0,1.154,43.1,2.0,4.0,3.95
Jonathan Hernández,TEX,1.38,1.585,41.0,3.0,1.0,5.05
DL Hall*,MIL,2.1,1.605,43.0,1.0,2.0,5.02
Porter Hodge,CHC,2.74,0.884,43.0,3.0,1.0,1.88
Cam Booser*,BOS,2.69,1.336,42.2,2.0,3.0,3.38
Tommy Kahnle,NYY,2.42,1.148,42.2,0.0,2.0,2.11
Sam Long*,KCR,2.59,1.195,42.2,3.0,3.0,3.16
Tim Mayza*,TOR,1.33,1.946,24.2,0.0,1.0,8.03
Tim Mayza*,NYY,4.0,1.167,18.0,0.0,1.0,4.0
Xzavion Curry,CLE,3.0,1.378,24.2,0.0,2.0,5.84
Xzavion Curry,MIA,6.5,0.611,18.0,2.0,0.0,3.0
Adam Oller,MIA,1.64,1.535,42.1,2.0,4.0,5.31
Eli Morgan,CLE,3.09,0.976,42.0,3.0,0.0,1.93
Darren McCaughan,MIA,3.0,1.472,36.0,0.0,0.0,5.75
Collin Snider,SEA,3.62,1.176,41.2,3.0,4.0,1.94
Edwin Uceta,TBR,7.13,0.816,41.2,2.0,0.0,1.51
Jordan Weems,WSN,1.46,1.752,41.2,1.0,1.0,6.7
Austin Adams,OAK,2.3,1.476,41.1,1.0,2.0,3.92
Will Smith*,KCR,1.93,1.452,41.1,0.0,4.0,6.53
Brad Keller,CHW,2.17,1.38,16.2,0.0,2.0,4.86
Brad Keller,BOS,2.11,1.622,24.2,0.0,2.0,5.84
Jesús Tinoco,TEX,1.29,1.8,10.0,0.0,0.0,8.1
Jesús Tinoco,MIA,6.0,0.675,26.2,1.0,0.0,2.03
Jake Bird,COL,1.24,1.7,40.0,2.0,2.0,4.5
Luis Medina,OAK,1.6,1.575,40.0,2.0,4.0,5.18
Matthew Boyd*,CLE,3.54,1.134,39.2,2.0,2.0,2.72
Paul Sewald,ARI,4.3,1.134,39.2,1.0,2.0,4.31
Kyle Bradish,BAL,3.53,1.068,39.1,2.0,0.0,2.75
Erik Swanson,TOR,2.64,1.271,39.1,2.0,2.0,5.03
Alex Wood*,OAK,1.74,1.78,39.1,1.0,3.0,5.26
Yimi García,TOR,5.25,0.8,30.0,3.0,0.0,2.7
Scott Alexander*,OAK,2.07,1.19,38.2,1.0,3.0,2.56
Joey Cantillo*,CLE,2.93,1.293,38.2,2.0,4.0,4.89
Tayler Saucedo*,SEA,2.11,1.371,38.2,2.0,0.0,3.49
Tommy Henry*,ARI,1.67,1.748,38.1,2.0,3.0,7.04
Rafael Montero,HOU,1.21,1.409,38.1,1.0,2.0,4.7
Wandy Peralta*,SDP,1.69,1.2,38.1,3.0,2.0,3.99
Jake Cousins,NYY,2.65,1.053,38.0,2.0,1.0,2.37
Emilio Pagán,CIN,4.0,1.342,38.0,4.0,5.0,4.5
Thyago Vieira,MIL,1.92,1.701,22.1,0.0,0.0,5.64
Thyago Vieira,ARI,1.56,1.277,15.2,0.0,1.0,2.87
Ian Hamilton,NYY,2.93,1.354,37.2,0.0,1.0,3.82
Zebby Matthews,MIN,3.91,1.646,37.2,1.0,4.0,6.69
Sam Moll*,CIN,2.71,1.088,37.2,3.0,2.0,3.35
Manuel Rodríguez,TBR,3.09,1.062,37.2,3.0,4.0,2.15
Hunter Stratton,PIT,4.71,1.168,37.2,2.0,1.0,3.58
Danny Young*,NYM,2.67,1.248,37.2,4.0,1.0,4.54
Brent Honeywell Jr.,LAD,1.89,1.107,34.1,1.0,1.0,2.62
Colin Poche*,TBR,2.54,1.152,37.1,1.0,2.0,3.86
Braxton Garrett*,MIA,8.5,1.189,37.0,2.0,2.0,5.35
Tyler Phillips,PHI,4.0,1.418,36.2,4.0,1.0,6.87
Dillon Tate,BAL,2.56,1.41,33.1,2.0,1.0,4.59
Mason Black,SFG,2.07,1.679,36.1,1.0,5.0,6.44
Justin Wrobleski*,LAD,1.63,1.376,36.1,1.0,2.0,5.7
JT Chargois,MIA,1.71,1.32,16.2,1.0,0.0,1.62
JT Chargois,SEA,3.0,0.763,19.2,2.0,1.0,2.75
Nick Anderson,KCR,1.93,1.402,35.2,3.0,1.0,4.04
Jack Leiter,TEX,1.82,1.71,35.2,0.0,3.0,8.83
Nick Nastrini,CHW,0.72,1.907,35.2,0.0,7.0,7.07
Sixto Sánchez,MIA,1.21,1.598,35.2,0.0,3.0,6.06
Steven Okert*,MIN,2.06,1.5,35.1,3.0,2.0,5.09
Dedniel Núñez,NYM,6.0,0.914,35.0,2.0,0.0,2.31
Jake Woodford,PIT,4.75,1.388,26.2,0.0,4.0,7.09
Kody Funderburk*,MIN,2.13,1.615,34.2,1.0,0.0,6.49
Cristian Javier,HOU,1.42,1.413,34.2,3.0,1.0,3.89
Ben Joyce,LAA,2.36,1.154,34.2,2.0,0.0,2.08
Steven Wilson,CHW,1.31,1.587,34.2,1.0,6.0,5.71
Tanner Gordon,COL,4.33,1.718,34.1,0.0,6.0,8.65
A.J. Minter*,ATL,3.18,1.019,34.1,5.0,4.0,2.62
Chris Roycroft,STL,1.94,1.398,34.1,1.0,2.0,4.19
Richard Lovelady*,TBR,2.22,1.186,28.2,3.0,5.0,3.77
J.T. Ginn,OAK,3.22,1.324,34.0,1.0,1.0,4.24
Michel Otañez,OAK,2.75,1.382,34.0,1.0,0.0,3.44
Brock Burke*,TEX,1.78,2.195,13.2,0.0,0.0,9.22
Brock Burke*,LAA,3.57,1.131,20.1,2.0,1.0,3.54
Marco Gonzales*,PIT,2.09,1.604,33.2,1.0,1.0,4.54
Adam Mazur,SDP,1.05,1.812,33.2,1.0,3.0,7.49
Jeffrey Springs*,TBR,3.36,1.364,33.0,2.0,2.0,3.27
Ryan Burr,TOR,3.92,1.255,32.2,0.0,2.0,4.13
Scott McGough,ARI,1.19,1.684,32.2,1.0,3.0,7.44
Jake Diekman*,NYM,1.67,1.469,32.0,2.0,3.0,5.63
Jose A. Ferrer*,WSN,4.17,1.031,32.0,1.0,0.0,3.38
Joe Kelly,LAD,2.19,1.469,32.0,1.0,1.0,4.78
Julian Aguiar,CIN,1.58,1.326,31.2,2.0,1.0,6.25
Angel Chivilli,COL,2.8,1.295,31.2,2.0,3.0,4.55
Kyle Tyler,MIA,1.39,1.737,31.2,0.0,2.0,5.4
Josh Fleming*,PIT,1.21,1.532,31.1,1.0,1.0,4.02
Michael Kelly,OAK,2.2,1.181,31.1,3.0,2.0,2.59
Jordan Leasure,CHW,1.44,1.596,31.1,0.0,2.0,6.32
Rhett Lowder,CIN,1.57,1.272,30.2,2.0,2.0,1.17
Robbie Ray*,SFG,2.87,1.141,30.2,3.0,2.0,4.7
Bradley Blalock,COL,1.05,1.82,29.2,1.0,3.0,6.07
Matt Bowman,BAL,2.33,1.34,15.2,1.0,0.0,3.45
Kris Bubic*,KCR,7.8,1.022,30.1,1.0,1.0,2.67
Davis Daniel,LAA,4.67,1.484,30.1,1.0,4.0,6.23
Keegan Thompson,CHC,2.0,1.22,30.1,2.0,1.0,2.67
Yonny Chirinos,MIA,1.92,1.867,30.0,0.0,2.0,6.3
Carlos Hernández,KCR,1.69,1.333,30.0,0.0,1.0,3.3
Clayton Kershaw*,LAD,2.67,1.5,30.0,2.0,2.0,4.5
Tony Santillan,CIN,5.11,1.0,30.0,3.0,3.0,3.0
Danny Coulombe*,BAL,6.4,0.674,29.2,1.0,0.0,2.12
Brandon Bielak,HOU,1.29,1.673,17.1,0.0,0.0,5.71
Brandon Bielak,OAK,0.83,1.865,12.1,1.0,0.0,4.38
Brenan Hanifee,DET,3.83,1.125,29.1,1.0,1.0,1.84
George Soriano,MIA,2.23,1.364,29.1,1.0,1.0,6.75
Eduardo Salazar,WSN,2.0,1.573,27.1,0.0,1.0,2.96
Spencer Howard,SFG,1.91,1.833,24.0,1.0,1.0,5.63
Drew Rasmussen,TBR,5.83,1.081,28.2,0.0,2.0,2.83
Aaron Ashby*,MIL,3.3,1.059,28.1,1.0,2.0,2.86
Yilber Díaz,ARI,1.58,1.376,28.1,1.0,1.0,3.81
Logan Allen*,ARI,2.1,1.5,28.0,0.0,1.0,5.46
Ryan Brasier,LAD,5.0,0.964,28.0,1.0,0.0,3.54
Robert Gasser*,MIL,16.0,1.036,28.0,2.0,0.0,2.57
Eduard Bazardo,SEA,3.67,1.048,27.2,2.0,0.0,4.88
Matt Manning,DET,1.92,1.554,27.2,0.0,1.0,4.88
Bryan Sammons*,DET,2.0,0.915,27.1,1.0,1.0,3.62
Kolby Allard*,PHI,2.88,1.556,27.0,2.0,0.0,5.0
Grant Anderson,TEX,2.9,1.613,26.2,0.0,1.0,8.1
Aaron Brooks,OAK,1.5,1.538,26.2,0.0,2.0,5.06
Chris Devenski,TBR,1.71,1.575,26.2,2.0,1.0,6.75
Ethan Roberts,CHC,2.6,1.538,26.2,1.0,1.0,3.71
Gerson Garabito,TEX,1.83,1.329,26.1,0.0,2.0,4.78
Jay Jackson,MIN,3.22,1.405,26.1,1.0,2.0,7.52
Bryan King*,HOU,3.2,1.139,26.1,1.0,0.0,2.39
Gus Varland,CHW,6.0,1.328,20.1,1.0,0.0,3.54
Luke Little*,CHC,1.56,1.269,26.0,3.0,1.0,3.46
Yunior Marté,PHI,1.53,1.885,26.0,0.0,0.0,6.92
Dany Jiménez,OAK,1.32,1.558,25.2,1.0,3.0,4.91
Hans Crouse,LAA,2.0,1.224,25.1,4.0,3.0,2.84
J.P. France,HOU,1.83,1.697,25.1,0.0,3.0,7.46
Kaleb Ort,HOU,6.5,0.811,24.2,1.0,1.0,2.55
Adam Cimber,LAA,1.36,1.397,24.1,3.0,0.0,7.03
Alek Manoah,TOR,3.25,1.027,24.1,1.0,2.0,3.7
Cody Poteet,NYY,2.0,1.068,24.1,3.0,0.0,2.22
Josh Staumont,MIN,1.29,1.274,24.1,1.0,0.0,3.7
Fraser Ellard*,CHW,2.17,1.25,24.0,2.0,3.0,3.75
Kenny Rosenberg*,LAA,2.13,1.5,24.0,0.0,1.0,6.0
Sam Hentges*,CLE,5.4,0.972,23.2,0.0,0.0,3.04
Gabe Speier*,SEA,2.36,1.394,23.2,0.0,2.0,5.7
Matt Festa,TEX,3.29,1.059,22.2,6.0,0.0,4.37
Mitch White,TOR,1.5,1.4,10.0,1.0,0.0,5.4
Bryan Baker,BAL,3.29,1.157,23.1,1.0,1.0,5.01
Victor González*,NYY,0.85,1.114,23.1,2.0,1.0,3.86
Ron Marinaccio,NYY,2.5,1.2,23.1,1.0,0.0,3.86
Ty Madden,DET,2.13,1.435,23.0,1.0,1.0,4.3
Michael McGreevy,STL,9.0,0.783,23.0,3.0,0.0,1.96
Touki Toussaint,CHW,1.44,2.304,23.0,1.0,2.0,7.43
Will Warren,NYY,2.9,1.897,22.2,0.0,3.0,10.32
Brady Basso*,OAK,3.8,1.254,22.1,1.0,1.0,4.03
Ray Kerr*,ATL,3.86,1.612,22.1,1.0,2.0,5.64
Tommy Nance,TOR,2.11,1.227,22.0,0.0,3.0,4.09
Mason Englert,DET,3.2,1.292,21.2,1.0,0.0,5.4
Sean Reid-Foley,NYM,1.79,1.246,21.2,1.0,2.0,1.66
Devin Williams,MIL,3.45,0.969,21.2,1.0,0.0,1.25
Enoli Paredes,MIL,1.4,1.113,20.2,1.0,0.0,1.74
Yerry Rodríguez,TEX,1.09,1.588,17.0,1.0,0.0,6.88
Sean Guenther*,DET,6.0,0.524,21.0,3.0,0.0,0.86
Colten Brewer,CHC,2.44,1.597,20.2,0.0,0.0,5.66
Richard Fitts,BOS,1.29,1.258,20.2,0.0,1.0,1.74
Giovanny Gallegos,STL,2.1,1.645,20.2,2.0,1.0,6.53
Domingo Germán,PIT,1.38,1.839,20.2,0.0,1.0,7.84
John Means*,BAL,8.0,0.871,20.2,2.0,0.0,2.61
Emmanuel Ramírez,MIA,2.63,1.403,20.2,0.0,1.0,6.97
Erasmo Ramírez,TBR,1.5,1.065,20.2,3.0,0.0,4.35
Ryder Ryan,PIT,1.89,1.452,20.2,1.0,0.0,5.66
Scott Blewett,MIN,2.25,1.23,20.1,1.0,1.0,1.77
Noah Davis,COL,2.14,1.869,20.1,0.0,0.0,5.75
River Ryan,LAD,2.0,1.18,20.1,1.0,0.0,1.33
Jeff Criswell,COL,3.0,1.475,19.2,1.0,0.0,2.75
Michael Petersen,LAD,1.38,1.571,14.0,3.0,0.0,6.43
Ronny Henriquez,MIN,3.0,1.293,19.1,1.0,1.0,3.26
José Marte,LAA,1.4,1.241,19.1,0.0,0.0,2.33
José Quijada*,LAA,1.41,1.5,19.1,2.0,2.0,3.26
Troy Taylor,SEA,3.57,1.138,19.1,0.0,0.0,3.72
Prelander Berroa,CHW,2.0,1.474,19.0,1.0,0.0,3.32
Sean Burke,CHW,3.14,1.0,19.0,2.0,0.0,1.42
Dominic Leone,CHW,1.21,1.789,19.0,0.0,2.0,6.63
Anthony Maldonado,MIA,1.57,1.474,19.0,1.0,1.0,5.68
Cody Bolton,SEA,1.89,1.446,18.2,0.0,0.0,4.34
Alex Lange,DET,1.24,1.768,18.2,0.0,3.0,4.34
Blake Walston*,ARI,1.8,1.418,18.1,1.0,0.0,4.42
Garrett Whitlock,BOS,2.43,1.145,18.1,1.0,0.0,1.96
Daysbel Hernández,ATL,2.6,1.111,18.0,3.0,0.0,2.5
Bailey Horn*,BOS,1.3,1.778,18.0,1.0,1.0,6.5
Walter Pennington*,TEX,1.45,1.731,17.1,1.0,0.0,3.12
Ky Bush*,CHW,0.69,2.038,17.2,0.0,3.0,5.6
Kent Emanuel*,MIA,1.71,1.528,17.2,0.0,0.0,6.62
Brandon Hughes*,ARI,2.1,1.925,17.2,0.0,0.0,8.15
Joe La Sorsa*,WSN,2.8,1.245,17.2,0.0,0.0,4.58
Drew Smith,NYM,2.56,1.528,17.2,1.0,1.0,3.06
Guillo Zuñiga,LAA,1.5,1.358,17.2,0.0,0.0,5.09
Adbert Alzolay,CHC,2.17,1.442,17.1,1.0,4.0,4.67
Cole Winn,TEX,3.5,1.269,17.1,0.0,1.0,7.79
Hunter Bigge,TBR,6.33,1.214,14.0,0.0,0.0,2.57
Zack Thompson*,STL,2.5,1.882,17.0,0.0,2.0,9.53
Ryan Zeferjahn,LAA,3.0,0.765,17.0,0.0,0.0,2.12
Dallas Keuchel*,MIL,1.38,1.86,16.2,0.0,0.0,5.4
Alex Cobb,CLE,3.33,1.041,16.1,2.0,1.0,2.76
Matt Sauer,KCR,0.82,2.082,16.1,0.0,0.0,7.71
Josh Sborz,TEX,4.25,1.224,16.1,2.0,2.0,3.86
Yosver Zulueta,CIN,2.86,1.347,16.1,0.0,0.0,4.96
José Cuas,CHC,2.33,1.65,13.1,0.0,0.0,7.43
Cole Sulser,TBR,1.33,0.771,11.2,1.0,0.0,0.0
Tristan Beck,SFG,3.5,1.125,16.0,0.0,0.0,1.69
Mike Clevinger,CHW,1.67,1.938,16.0,0.0,3.0,6.75
Yency Almonte,CHC,2.5,1.085,15.2,1.0,0.0,3.45
José Cisnero,LAA,2.13,1.66,15.2,0.0,0.0,6.89
Grant Holman,OAK,1.78,1.66,15.2,1.0,1.0,4.02
Brock Stewart,MIN,2.5,1.468,15.2,0.0,0.0,5.17
Alex Young*,NYM,1.86,1.317,13.2,0.0,0.0,3.29
Elieser Hernández,LAD,2.0,1.241,9.2,0.0,1.0,8.38
Tyler Wells,BAL,4.33,1.37,15.1,0.0,2.0,5.87
Julian Merryweather,CHC,1.56,1.8,15.0,1.0,1.0,6.6
Sammy Peralta*,CHW,1.57,1.867,15.0,0.0,0.0,4.8
Tom Cosgrove*,SDP,2.5,1.977,14.2,0.0,1.0,11.66
Alek Jacob,SDP,9.5,0.75,14.2,0.0,0.0,2.45
Daniel Palencia,CHC,1.33,1.773,14.2,0.0,1.0,6.14
Daulton Jefferies,PIT,4.0,1.2,10.0,0.0,0.0,6.3
Abner Uribe,MIL,1.17,1.884,14.1,2.0,2.0,6.91
Brandon Williamson*,CIN,2.4,1.047,14.1,0.0,0.0,3.77
Tyler Beede,CLE,2.0,1.786,14.0,1.0,0.0,8.36
Deivi García,CHW,1.36,1.929,14.0,1.0,2.0,7.07
Miguel Castro,ARI,2.67,1.683,13.2,0.0,0.0,5.93
Max Lazar,PHI,4.5,1.098,13.2,0.0,0.0,4.61
Joely Rodríguez*,BOS,6.0,1.537,13.2,0.0,1.0,5.93
Jordan Romano,TOR,3.25,1.463,13.2,1.0,2.0,6.59
Darius Vines,ATL,2.25,1.829,13.2,0.0,1.0,8.56
Matt Barnes,WSN,2.5,1.5,13.1,0.0,0.0,6.75
Nick Ramirez*,LAD,0.71,1.875,13.1,0.0,0.0,6.08
Nick Robertson,STL,7.0,1.378,12.1,0.0,0.0,4.38
Anthony Veneziano*,MIA,6.0,1.235,11.1,1.0,0.0,3.18
Sam Aldegheri*,LAA,1.0,1.923,13.0,1.0,2.0,4.85
Michael Mercado,PHI,1.11,1.923,13.0,1.0,2.0,11.08
Ryan Miller,LAA,1.38,1.615,13.0,0.0,1.0,4.15
Tyler Mahle,TEX,2.5,1.421,12.2,0.0,1.0,4.97
Erik Sabrowski*,CLE,4.75,0.789,12.2,0.0,0.0,0.0
Seth Halvorsen,COL,6.5,0.811,12.1,2.0,1.0,1.46
Jimmy Herget,ATL,5.0,1.297,12.1,0.0,1.0,4.38
Luis Peralta*,COL,2.8,0.973,12.1,0.0,0.0,0.73
Carlos Rodríguez,MIL,3.0,1.784,12.1,0.0,3.0,7.3
Antonio Senzatela,COL,0.88,1.865,12.1,0.0,1.0,6.57
Nick Vespi*,BAL,3.0,1.054,12.1,0.0,0.0,2.92
Josh Walker*,NYM,1.83,1.541,12.1,0.0,0.0,5.11
Shane Bieber,CLE,20.0,0.917,12.0,2.0,0.0,0.0
Ben Heller,PIT,2.5,2.083,12.0,0.0,1.0,11.25
John McMillon,MIA,2.6,1.0,12.0,2.0,1.0,1.5
Zach Plesac,LAA,0.71,1.583,12.0,1.0,1.0,8.25
Nick Avila,SFG,4.67,1.714,11.2,1.0,0.0,8.49
Jake Bloss,HOU,3.67,1.629,11.2,0.0,1.0,6.94
Kumar Rocker,TEX,2.33,1.543,11.2,0.0,2.0,3.86
Peter Strzelecki,CLE,3.0,1.2,11.2,0.0,0.0,2.31
Johnny Cueto,LAA,2.0,1.5,11.1,0.0,2.0,7.15
Yoendrys Gómez,NYY,1.43,1.588,11.1,0.0,0.0,3.97
Kevin Herget,MIL,3.0,0.794,11.1,0.0,0.0,1.59
Ryan Borucki*,PIT,3.25,1.636,11.0,0.0,0.0,7.36
J.P. Feyereisen,LAD,1.8,1.455,11.0,0.0,1.0,8.18
Parker Mushinski*,HOU,0.6,1.455,11.0,0.0,0.0,6.55
Sean Reynolds,SDP,4.2,1.364,11.0,0.0,0.0,0.82
Josh Rogers*,COL,1.0,1.636,11.0,2.0,0.0,6.55
Kai-Wei Teng,SFG,0.88,2.091,11.0,0.0,0.0,9.82
Joan Adon,WSN,1.5,1.5,10.2,0.0,0.0,6.75
Jacob deGrom,TEX,14.0,1.125,10.2,0.0,0.0,1.69
Jaden Hill,COL,1.5,1.125,10.2,0.0,0.0,5.06
Caleb Kilian,CHC,1.17,1.594,10.2,0.0,1.0,4.22
Kyle Nelson*,ARI,2.0,1.125,10.2,0.0,0.0,4.22
Ricardo Pinto,PHI,1.6,2.25,10.2,0.0,0.0,10.97
Austin Warren,SFG,1.4,1.313,10.2,0.0,0.0,1.69
Humberto Castellanos,ARI,1.75,1.452,10.1,0.0,0.0,5.23
Caden Dana,LAA,1.14,2.032,10.1,1.0,2.0,9.58
Jacob Lopez*,TBR,1.14,1.161,10.1,0.0,0.0,5.23
Joey Lucchesi*,NYM,0.88,1.548,10.1,0.0,2.0,5.23
Kirby Snead*,SEA,1.0,1.839,10.1,0.0,0.0,4.35
Diego Castillo,MIN,0.75,1.6,10.0,0.0,0.0,2.7
Luis Guerrero,BOS,4.5,0.8,10.0,0.0,0.0,0.0
Tyler Matzek*,ATL,3.33,1.9,10.0,0.0,0.0,9.9
Sean Newcomb*,OAK,0.88,1.7,10.0,1.0,0.0,6.3
Jacob Waguespack,TBR,1.1,2.3,10.0,0.0,0.0,5.4
Nick Burdi,NYY,1.33,1.448,9.2,1.0,0.0,1.86
Jhonathan Díaz*,SEA,2.67,1.759,9.2,0.0,1.0,4.66
Randy Dobnak,MIN,1.4,1.655,9.2,0.0,0.0,5.59
Mason Montgomery*,TBR,3.4,1.138,9.2,0.0,0.0,1.86
Jack O'Loughlin*,OAK,1.2,1.862,9.2,0.0,0.0,4.66
Lake Bachar,MIA,2.75,1.5,9.1,0.0,1.0,3.86
Casey Legumina,CIN,3.5,1.821,9.1,0.0,0.0,8.68
