Player,Team,SO/BB,WHIP,IP,W,L,ERA
Gavin Stone,LAD,3.14,1.211,140.1,11.0,5.0,3.53
Andrew Abbott*,CIN,2.19,1.297,138.0,10.0,10.0,3.72
Taj Bradley,TBR,3.28,1.225,138.0,8.0,11.0,4.11
Tobias Myers,MIL,3.53,1.174,138.0,9.0,6.0,3.0
Reynaldo López,ATL,3.52,1.106,135.2,8.0,5.0,1.99
Luis Ortiz,PIT,2.55,1.113,135.2,7.0,6.0,3.32
Joe Ryan,MIN,6.39,0.985,135.0,7.0,7.0,3.6
Martín Pérez*,PIT,1.97,1.651,83.0,2.0,5.0,5.2
Martín Pérez*,SDP,2.59,1.212,52.0,3.0,1.0,3.46
Justin Steele*,CHC,3.65,1.099,134.2,5.0,5.0,3.07
Tyler Glasnow,LAD,4.8,0.948,134.0,9.0,6.0,3.49
Albert Suárez,BAL,2.51,1.294,133.2,9.0,7.0,3.7
Simeon Woods Richardson,MIN,2.44,1.294,133.2,5.0,5.0,4.17
Paul Skenes,PIT,5.31,0.947,133.0,11.0,3.0,1.96
Kyle Hendricks,CHC,2.02,1.454,130.2,4.0,12.0,5.92
Michael Lorenzen,TEX,1.56,1.279,101.2,5.0,6.0,3.81
Michael Lorenzen,KCR,1.83,1.081,28.2,2.0,0.0,1.57
Ryan Pepiot,TBR,2.96,1.154,130.0,8.0,8.0,3.6
Dean Kremer,BAL,2.41,1.242,129.2,8.0,10.0,4.1
Alec Marsh,KCR,3.15,1.256,129.0,9.0,9.0,4.53
Joey Estes,OAK,3.41,1.23,127.2,7.0,9.0,5.01
Jonathan Cannon,CHW,2.28,1.327,124.1,5.0,10.0,4.49
Kyle Harrison*,SFG,2.81,1.343,124.1,7.0,7.0,4.56
Trevor Rogers*,MIA,1.85,1.528,105.1,2.0,9.0,4.53
Trevor Rogers*,BAL,1.2,1.842,19.0,0.0,2.0,7.11
Spencer Schwellenbach,ATL,5.52,1.043,123.2,8.0,7.0,3.35
Jared Jones,PIT,3.38,1.192,121.2,6.0,8.0,4.14
Andre Pallante,STL,1.96,1.302,121.1,8.0,8.0,3.78
Bryan Woo,SEA,7.77,0.898,121.1,9.0,3.0,2.89
David Peterson*,NYM,2.2,1.289,121.0,10.0,3.0,2.9
Lance Lynn,STL,2.48,1.338,117.1,7.0,4.0,3.84
Jordan Montgomery*,ARI,1.89,1.65,117.0,8.0,7.0,6.23
Grayson Rodriguez,BAL,3.61,1.243,116.2,13.0,4.0,3.86
Nick Lodolo*,CIN,3.3,1.197,115.1,9.0,6.0,4.76
Kyle Freeland*,COL,3.27,1.412,113.1,5.0,8.0,5.24
José Soriano,LAA,2.16,1.204,113.0,6.0,7.0,3.42
Kenta Maeda,DET,3.1,1.38,112.1,3.0,7.0,6.09
Reese Olson,DET,3.06,1.184,112.1,4.0,8.0,3.53
Cole Irvin*,BAL,3.04,1.407,107.1,6.0,5.0,4.86
Jordan Hicks,SFG,2.04,1.45,109.2,4.0,7.0,4.1
José Ureña,TEX,1.79,1.321,109.0,5.0,8.0,3.8
Tyler Alexander*,TBR,3.75,1.245,107.2,6.0,5.0,5.1
Bryse Wilson,MIL,2.65,1.271,104.2,5.0,4.0,4.04
Blake Snell*,SFG,3.3,1.048,104.0,5.0,3.0,3.12
Carlos Carrasco,CLE,2.7,1.399,103.2,3.0,10.0,5.64
Bowden Francis,TOR,4.18,0.926,103.2,8.0,5.0,3.3
Jon Gray,TEX,3.07,1.315,102.2,5.0,6.0,4.47
Casey Mize,DET,2.69,1.466,102.1,2.0,6.0,4.49
James Paxton*,LAD,1.33,1.455,89.1,8.0,2.0,4.43
James Paxton*,BOS,4.5,1.364,11.0,1.0,1.0,4.09
Joe Musgrove,SDP,4.39,1.174,99.2,6.0,5.0,3.88
Cooper Criswell,BOS,2.35,1.349,99.1,6.0,5.0,4.08
Ryan Yarbrough*,LAD,1.56,1.144,67.1,4.0,2.0,3.74
Ryan Yarbrough*,TOR,3.71,0.798,31.1,1.0,0.0,2.01
Keider Montero,DET,2.48,1.332,98.1,6.0,6.0,4.76
Randy Vásquez,SDP,2.14,1.51,98.0,4.0,7.0,4.87
Logan Allen*,CLE,1.93,1.582,97.1,8.0,5.0,5.73
Edward Cabrera,MIA,2.14,1.37,96.1,4.0,8.0,4.95
Gerrit Cole,NYY,3.41,1.126,95.0,8.0,5.0,3.41
Dane Dunning,TEX,2.28,1.442,95.0,5.0,7.0,5.31
Tyler Holton*,DET,4.53,0.784,94.1,7.0,2.0,2.19
Carson Spiers,CIN,2.96,1.533,90.2,5.0,7.0,5.46
Justin Verlander,HOU,2.74,1.384,90.1,5.0,6.0,5.48
Derek Law,WSN,3.17,1.178,90.0,7.0,4.0,2.6
Yoshinobu Yamamoto,LAD,4.77,1.111,90.0,7.0,2.0,3.0
Dakota Hudson,COL,0.98,1.674,89.0,2.0,12.0,6.17
DJ Herz*,WSN,2.94,1.263,88.2,4.0,9.0,4.16
Chris Paddack,MIN,3.76,1.392,88.1,5.0,3.0,4.99
Reid Detmers*,LAA,2.87,1.557,87.1,4.0,9.0,6.7
Carson Fulmer,LAA,2.03,1.396,86.2,0.0,5.0,4.15
Yariel Rodríguez,TOR,2.13,1.315,86.2,1.0,8.0,4.47
Ryan Weathers*,MIA,3.33,1.177,86.2,5.0,6.0,3.63
Matthew Liberatore*,STL,2.71,1.267,86.0,3.0,4.0,4.4
Clarke Schmidt,NYY,3.1,1.184,85.1,5.0,5.0,2.85
Ross Stripling,OAK,2.23,1.535,85.1,2.0,11.0,6.01
Luke Weaver,NYY,3.96,0.929,84.0,7.0,3.0,2.89
Taijuan Walker,PHI,1.57,1.721,83.2,3.0,7.0,7.1
Roddery Muñoz,MIA,1.67,1.585,82.2,2.0,7.0,6.53
Pedro Avila,CLE,2.43,1.313,74.2,5.0,1.0,3.25
Yu Darvish,SDP,3.55,1.065,81.2,7.0,3.0,3.31
Sean Hjelle,SFG,5.36,1.215,80.2,3.0,4.0,3.9
Ryan Walker,SFG,5.5,0.85,80.0,10.0,4.0,1.91
Cade Povich*,BAL,2.03,1.431,79.2,3.0,9.0,5.2
Patrick Sandoval*,LAA,2.31,1.506,79.2,2.0,8.0,5.08
Michael Soroka,CHW,1.91,1.381,79.2,0.0,10.0,4.74
Shane Baz,TBR,2.56,1.059,79.1,4.0,3.0,3.06
Michael Tonkin,MIN,3.14,1.531,16.1,0.0,0.0,3.86
Michael Tonkin,NYY,2.71,1.161,56.0,3.0,2.0,3.38
Keegan Akin*,BAL,5.11,0.941,78.2,3.0,1.0,3.32
Bryan Abreu,HOU,3.22,1.162,78.1,3.0,3.0,3.1
Tylor Megill,NYM,2.84,1.308,78.0,4.0,5.0,4.04
Graham Ashcraft,CIN,2.11,1.5,77.1,5.0,5.0,5.24
Slade Cecconi,ARI,3.76,1.416,77.0,2.0,7.0,6.66
Cody Bradford*,TEX,5.38,1.009,76.1,6.0,3.0,3.54
Gavin Williams,CLE,2.47,1.368,76.0,3.0,10.0,4.86
Josh Winckowski,BOS,2.31,1.408,76.0,4.0,2.0,4.14
Triston McKenzie,CLE,1.51,1.559,75.2,3.0,5.0,5.11
Walker Buehler,LAD,2.29,1.553,75.1,1.0,6.0,5.38
Cade Smith,CLE,6.06,0.903,75.1,6.0,1.0,1.91
Paul Blackburn,OAK,2.71,1.157,51.0,4.0,2.0,4.41
Paul Blackburn,NYM,3.0,1.562,24.1,1.0,2.0,5.18
Hunter Gaddis,CLE,4.71,0.763,74.2,6.0,3.0,1.57
Emmanuel Clase,CLE,6.6,0.659,74.1,4.0,2.0,0.61
José Buttó,NYM,2.08,1.068,74.0,7.0,3.0,2.55
Joe Ross,MIL,2.28,1.365,74.0,3.0,6.0,3.77
Merrill Kelly,ARI,3.32,1.167,73.2,5.0,1.0,4.03
Victor Vodnik,COL,1.76,1.48,73.2,5.0,4.0,4.28
Jason Adam,TBR,3.13,0.894,47.0,4.0,2.0,2.49
Jason Adam,SDP,4.43,0.788,26.2,3.0,0.0,1.01
Jared Shuster*,CHW,1.7,1.459,73.1,2.0,5.0,4.3
Hunter Strickland,LAA,2.38,1.091,73.1,3.0,2.0,3.31
Justin Martínez,ARI,2.53,1.307,72.2,5.0,6.0,2.48
Hogan Harris*,OAK,1.85,1.355,72.1,4.0,4.0,2.86
Trent Thornton,SEA,4.05,1.134,72.1,4.0,3.0,3.61
Tanner Banks*,CHW,3.67,1.292,48.0,2.0,2.0,4.13
Tanner Banks*,PHI,2.3,1.315,24.1,0.0,1.0,3.7
Hayden Birdsong,SFG,2.05,1.389,72.0,5.0,6.0,4.75
David Robertson,TEX,3.67,1.111,72.0,3.0,4.0,3.0
Tanner Scott*,MIA,1.96,1.007,45.2,6.0,5.0,1.18
Tanner Scott*,SDP,3.44,1.329,26.1,3.0,1.0,2.73
Dennis Santana,NYY,1.9,1.354,27.1,2.0,0.0,6.26
Dennis Santana,PIT,4.55,0.925,44.1,1.0,1.0,2.44
Ty Blach*,COL,2.0,1.696,71.1,3.0,8.0,6.94
Cole Sands,MIN,7.08,0.995,71.1,9.0,1.0,3.28
A.J. Puk*,MIA,1.96,1.341,44.0,4.0,8.0,4.3
A.J. Puk*,ARI,8.6,0.732,27.1,0.0,1.0,1.32
Buck Farmer,CIN,2.41,1.197,71.0,3.0,2.0,3.04
Josh Hader*,HOU,4.2,0.958,71.0,8.0,8.0,3.8
Griffin Jax,MIN,6.33,0.873,71.0,5.0,5.0,2.03
Kevin Kelly,TBR,7.0,0.962,70.2,5.0,2.0,2.67
Andrew Kittredge,STL,3.35,1.132,70.2,5.0,5.0,2.8
Declan Cronin,MIA,2.88,1.422,70.1,3.0,4.0,4.35
Tyler Rogers,SFG,8.5,1.038,70.1,3.0,4.0,2.82
Will Vest,DET,3.5,1.123,70.1,3.0,4.0,2.82
Kevin Ginkel,ARI,5.13,1.2,70.0,8.0,3.0,3.21
Jalen Beeks*,COL,2.11,1.358,49.1,6.0,4.0,4.74
Jalen Beeks*,PIT,1.89,1.79,20.2,1.0,0.0,3.92
Adrian Houser,NYM,1.41,1.529,69.1,1.0,5.0,5.84
Raisel Iglesias,ATL,5.23,0.736,69.1,6.0,2.0,1.95
Landon Knack,LAD,3.83,1.101,69.0,3.0,5.0,3.65
Valente Bellozo,MIA,2.1,1.311,68.2,3.0,4.0,3.67
Joe Jiménez,ATL,3.57,0.99,68.2,1.0,5.0,2.62
Tayler Scott,HOU,2.03,1.165,68.2,7.0,3.0,2.23
Dylan Floro,WSN,3.08,1.051,52.1,3.0,3.0,2.06
Dylan Floro,ARI,2.0,1.653,16.1,3.0,1.0,9.37
