pixel,importance
pixel232,0.0004052602867241096
pixel233,0.00032988115438638374
pixel234,0.0004493330152144962
pixel235,0.013772731277927068
pixel236,0.00025335116807419786
pixel237,0.0004850239398525168
pixel238,0.0003945340043693154
pixel239,0.0005891756455549934
pixel240,0.00011503583250362802
pixel241,0.0002711645953349432
pixel242,0.0012275605668760465
pixel243,0.0007929448241692043
pixel244,0.00018291604333103118
pixel245,0.000951210868731545
pixel246,0.004842652699713171
pixel247,0.008647859359029779
pixel248,0.0056220827291430745
pixel249,0.0041265169597457345
pixel250,0.002186968391855553
pixel251,0.00010118857474323688
pixel252,0.0
pixel253,0.0
pixel254,4.178303421874512e-05
pixel255,0.00019484544653574493
pixel256,8.642185493880724e-05
pixel257,0.0009695478059359024
pixel258,0.0005680848886683727
pixel259,0.0007660589866020116
pixel260,0.0005405517334519107
pixel261,0.0003703247384751033
pixel262,0.0030263438934196286
pixel263,0.003317383639159667
pixel264,0.001654067066283767
pixel265,0.0002183442169273707
pixel266,0.00020361850712350633
pixel267,0.00047643069167695173
pixel268,7.962364880060758e-05
pixel269,0.0010334744956815244
pixel270,0.0038535406873495283
pixel271,0.0008478782754814397
pixel272,0.0007013898223249082
pixel273,0.0018801346634355846
pixel274,0.0042157929461555145
pixel275,0.0006875269113352893
pixel276,0.0024759219633843886
pixel277,0.0010544480398268232
pixel278,0.0001873233262144346
pixel279,4.7438757282008066e-05
pixel280,4.757468524081957e-05
pixel281,0.0
pixel282,8.376707054985559e-05
pixel283,0.00043896071939877006
pixel284,3.593017667204566e-05
pixel285,9.643279628483828e-05
pixel286,0.00019783026967091797
pixel287,0.00028993415692496076
pixel288,0.00026134915644147416
pixel289,0.0008332393211677409
pixel290,0.001755747539517501
pixel291,0.00048329050542549864
pixel292,8.1995472745195e-05
pixel293,0.0002687737066967134
pixel294,0.0001612547266726923
pixel295,0.00022918831177193364
pixel296,0.0017306636545178075
pixel297,0.0011251556920768434
pixel298,0.0008330456881647724
pixel299,0.0011473643930906335
pixel300,0.0010445922414826845
pixel301,0.000873478667416516
pixel302,0.0005870965671685068
pixel303,0.0002584971376401703
pixel304,0.0010310452505710535
pixel305,0.0009023028737603491
pixel306,0.00026749727978677454
pixel307,0.0005597139309264716
pixel308,0.0
pixel309,0.0
pixel310,0.00015993338617458224
pixel311,2.4304653284126603e-05
pixel312,4.2179764385862593e-05
pixel313,0.0008929734044765937
pixel314,0.0007048747308526282
pixel315,0.0012983658000871076
pixel316,0.0010432756357001954
pixel317,0.00039258213748772237
pixel318,0.0003165854337407966
pixel319,0.00036012215300197957
pixel320,0.00023836162203534392
pixel321,7.568086319576168e-05
pixel322,0.0003975098698330343
pixel323,0.0012713265973268452
pixel324,0.00012681609707851962
pixel325,0.0011629511058799803
pixel326,0.0011739234082430731
pixel327,0.0004953189265828359
pixel328,0.0026756533507055376
pixel329,0.0007672341967317
pixel330,0.0006339768662951814
pixel331,0.000662030023040116
pixel332,0.00035287467919910986
pixel333,0.000319982648440144
pixel334,0.0005422034876844837
pixel335,1.8718331626532468e-05
pixel336,4.8238791774375754e-05
pixel337,3.567245277520861e-05
pixel338,0.0004101021099062399
pixel339,0.00028691265910688057
pixel340,1.2796286082228334e-05
pixel341,0.00128084577088877
pixel342,0.0004480995829367944
pixel343,0.000380512228443338
pixel344,0.0008753678889674145
pixel345,0.0005991587880333143
pixel346,0.0009204999381230076
pixel347,0.0015756010121917158
pixel348,0.0007774318063686964
pixel349,0.0004257784257418937
pixel350,0.0021803723702838954
pixel351,0.0009196009101801802
pixel352,0.0017801412186098937
pixel353,0.004816796076608695
pixel354,0.0016143493497535201
pixel355,0.0005102437293758565
pixel356,0.00521100125203196
pixel357,0.0016886350425234656
pixel358,0.00033665363223870254
pixel359,0.00091263596571198
pixel360,0.0014139391715533895
pixel361,0.00030644175612745835
pixel362,0.001930458484939496
pixel363,0.001992800376474042
pixel364,0.00017530846678531252
pixel365,7.057945212460277e-05
pixel366,0.0009931195595137676
pixel367,0.0002565284681056911
pixel368,0.00015746796928674072
pixel369,0.0006649062757153548
pixel370,0.0003208884596537076
pixel371,0.0010915467667067765
pixel372,0.0030288658967310912
pixel373,0.002689286978269195
pixel374,0.0016809663752835671
pixel375,0.00030172502441075394
pixel376,0.0005911741419162586
pixel377,0.0019438765502501876
pixel378,0.0009696936757627346
pixel379,0.0011510653916813312
pixel380,0.001358722585764088
pixel381,0.002450237308092057
pixel382,0.0031494232066205524
pixel383,0.0006348018076544281
pixel384,0.0009646006180777967
pixel385,0.00043634881151750573
pixel386,0.0002039995587219247
pixel387,0.0010017954510869451
pixel388,0.003965108410287012
pixel389,0.0009158024160603493
pixel390,0.0061867290653643435
pixel391,0.007713310305941538
pixel392,0.0006235954528321681
pixel393,0.0
pixel394,0.0011906084459643623
pixel395,0.0013786679695131946
pixel396,0.0014306136379053306
pixel397,0.0005848309152951274
pixel398,0.002501428017540513
pixel399,0.0027078483755449564
pixel400,0.0039132084546978745
pixel401,0.0025643886056274457
pixel402,0.0007130335108290977
pixel403,0.0002628750470685162
pixel404,0.0012852446489568887
pixel405,0.0009496074573587642
pixel406,0.005735567048633336
pixel407,0.0028423470062849286
pixel408,0.0011562160538200594
pixel409,0.0007150082882604891
pixel410,0.00021071502033732234
pixel411,0.00013525155539907745
pixel412,0.0005159985583840624
pixel413,0.0007101434848974555
pixel414,0.000645059054583429
pixel415,0.001355728477110415
pixel416,0.0012591904553034845
pixel417,0.0021046215040388884
pixel418,0.004421898576962007
pixel419,0.010058207448745653
pixel420,0.0003296518680068604
pixel421,9.754946303824326e-05
pixel422,3.050510310679994e-05
pixel423,0.0019579566033341676
pixel424,0.006584558626950457
pixel425,0.00026677877955626255
pixel426,0.0009244242091124244
pixel427,0.0015593689716861855
pixel428,0.001065202334980916
pixel429,0.0006915245958194151
pixel430,0.0005997672768037062
pixel431,0.0002858406589963799
pixel432,0.0007729298970930213
pixel433,0.0007383444925266369
pixel434,0.0032860727501165675
pixel435,0.0024924356033599565
pixel436,0.0005583319548464287
pixel437,0.0008394666842676777
pixel438,0.00019754335218231744
pixel439,0.0005952719717959582
pixel440,0.00040033644051281974
pixel441,0.0009792176802244658
pixel442,0.0002399081064987561
pixel443,0.0008802911735809216
pixel444,0.0011367685565629435
pixel445,0.0017000505774664534
pixel446,0.00022267611770336062
pixel447,0.0026073767496929095
pixel448,0.00019506828265584752
pixel449,0.00015323976546469898
pixel450,0.0008640550483140822
pixel451,0.0004977198340722954
pixel452,0.000495353787456662
pixel453,0.0004373029727078821
pixel454,0.0030774223419876884
pixel455,0.0008469342575939521
pixel456,0.00100141473177488
pixel457,0.00037149514520093846
pixel458,0.0002999329303785243
pixel459,0.00016486813963743238
pixel460,0.00017632007731949542
pixel461,0.0003258472210314507
pixel462,0.0004874573096795128
pixel463,0.00041630206264095147
pixel464,0.00027771580026376725
pixel465,0.0004199218349353906
pixel466,0.00018938000248506294
pixel467,0.0003762012922843942
